,reqid,date,open,high,low,close,volume
0,4104,20201216  09:30:00,11.825,11.975,10.675,11.5,-1
1,4104,20201216  09:35:00,11.5,11.625,10.825,10.825,-1
2,4104,20201216  09:40:00,10.825,10.825,10.65,10.65,-1
3,4104,20201216  09:45:00,10.65,10.9,10.65,10.9,-1
4,4104,20201216  09:50:00,10.9,11.45,10.9,11.45,-1
5,4104,20201216  09:55:00,11.45,11.65,11.425,11.425,-1
6,4104,20201216  10:00:00,11.425,11.7,11.25,11.65,-1
7,4104,20201216  10:05:00,11.65,11.8,11.6,11.75,-1
8,4104,20201216  10:10:00,11.75,11.925,11.5,11.525,-1
9,4104,20201216  10:15:00,11.525,11.525,10.975,10.975,-1
10,4104,20201216  10:20:00,10.975,11.025,10.575,10.7,-1
11,4104,20201216  10:25:00,10.7,11.6,10.7,11.525,-1
12,4104,20201216  10:30:00,11.525,11.8,11.525,11.8,-1
13,4104,20201216  10:35:00,11.8,12.125,11.8,12.075,-1
14,4104,20201216  10:40:00,12.075,12.2,12.075,12.175,-1
15,4104,20201216  10:45:00,12.175,12.25,12.075,12.075,-1
16,4104,20201216  10:50:00,12.075,12.15,12.075,12.125,-1
17,4104,20201216  10:55:00,12.125,12.125,11.95,11.95,-1
18,4104,20201216  11:00:00,11.95,12.225,11.95,12.225,-1
19,4104,20201216  11:05:00,12.225,12.525,12.225,12.4,-1
20,4104,20201216  11:10:00,12.4,12.425,12.325,12.425,-1
21,4104,20201216  11:15:00,12.425,12.45,11.825,11.9,-1
22,4104,20201216  11:20:00,11.9,12.1,11.825,12.1,-1
23,4104,20201216  11:25:00,12.1,12.25,12.075,12.25,-1
24,4104,20201216  11:30:00,12.25,12.5,12.25,12.5,-1
25,4104,20201216  11:35:00,12.5,12.8,12.5,12.725,-1
26,4104,20201216  11:40:00,12.725,12.775,12.7,12.7,-1
27,4104,20201216  11:45:00,12.7,12.85,12.7,12.85,-1
28,4104,20201216  11:50:00,12.85,13.125,12.85,13.075,-1
29,4104,20201216  11:55:00,13.075,13.1,12.975,13.075,-1
30,4104,20201216  12:00:00,13.075,13.075,12.875,12.9,-1
31,4104,20201216  12:05:00,12.9,13.125,12.9,13.125,-1
32,4104,20201216  12:10:00,13.125,13.15,13.1,13.1,-1
33,4104,20201216  12:15:00,13.1,13.275,13.1,13.125,-1
34,4104,20201216  12:20:00,13.125,13.125,12.9,12.9,-1
35,4104,20201216  12:25:00,12.9,12.9,12.8,12.85,-1
36,4104,20201216  12:30:00,12.85,12.85,12.675,12.675,-1
37,4104,20201216  12:35:00,12.675,12.85,12.675,12.725,-1
38,4104,20201216  12:40:00,12.725,12.875,12.575,12.825,-1
39,4104,20201216  12:45:00,12.825,12.925,12.65,12.75,-1
